artist,artist_mbid,album,album_mbid,track,track_mbid,timestamp,datetime,track_id,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature,key,loudness,mode
Drake,,If You're Reading This It's Too Late,26d2002d-cd52-4774-88f2-7ee6d4f53503,Used To,39d86716-fda0-4561-911e-0947716ed3ed,1697799657,2023-10-20 13:00:57,63p3Slj0shAFP0Q7dQetj5,0.926,0.427,0.105,0.0703,0.000337,0.0818,0.304,96.025,268480,4,10,-7.584,0
Drake,,If You're Reading This It's Too Late,26d2002d-cd52-4774-88f2-7ee6d4f53503,Wednesday Night Interlude,,1697799446,2023-10-20 12:57:26,6oLHyWvmk6bKrA91EIYZBp,0.312,0.466,0.0509,0.729,7.34e-06,0.215,0.195,135.44,212280,4,9,-8.163,0
Drake,,If You're Reading This It's Too Late,26d2002d-cd52-4774-88f2-7ee6d4f53503,Preach,,1697799209,2023-10-20 12:53:29,1OHoBC4icbuNhpSxP400sv,0.605,0.51,0.423,0.165,8.8e-05,0.104,0.389,65.255,236973,4,11,-8.094,0
Drake,,If You're Reading This It's Too Late,26d2002d-cd52-4774-88f2-7ee6d4f53503,Star67,45fac124-0dcd-46a4-a556-922613e0e8b7,1697798914,2023-10-20 12:48:34,2mmUoyPxzbxehpfm1TpTRK,0.521,0.392,0.17,0.747,8.81e-06,0.198,0.166,91.939,294973,4,3,-7.88,1
Drake,,If You're Reading This It's Too Late,26d2002d-cd52-4774-88f2-7ee6d4f53503,6 God,211b815c-dd05-4705-b7f7-546c2b896c10,1697798147,2023-10-20 12:35:47,3a8tAZFJxlmBwOtrf5L1oC,0.868,0.623,0.101,0.0249,0.0,0.125,0.498,105.446,180667,4,2,-8.595,1
Drake,,If You're Reading This It's Too Late,26d2002d-cd52-4774-88f2-7ee6d4f53503,Madonna,f5b3a2dd-8a9c-4924-8ab5-d0220f8ddc07,1697797969,2023-10-20 12:32:49,4v7SAP4KD96BFLWiCd1vF0,0.905,0.492,0.0595,0.0149,3.77e-05,0.371,0.142,110.017,177840,4,2,-8.598,1
Drake,,If You're Reading This It's Too Late,26d2002d-cd52-4774-88f2-7ee6d4f53503,No Tellin',017d0a3d-1099-42c4-9a36-bc1284a9c1cd,1697797658,2023-10-20 12:27:38,2durxb17bXcmQJHSt8JAdO,0.823,0.467,0.301,0.543,1.06e-06,0.135,0.618,95.026,310933,4,0,-10.394,0
Drake,,If You're Reading This It's Too Late,26d2002d-cd52-4774-88f2-7ee6d4f53503,Know Yourself,47da39e6-4447-4e66-a020-e05f3cb03fc4,1697797110,2023-10-20 12:18:30,5InOp6q2vvx0fShv3bzFLZ,0.72,0.412,0.223,0.196,0.0,0.342,0.179,114.408,275840,4,11,-8.687,0
Drake,,If You're Reading This It's Too Late,26d2002d-cd52-4774-88f2-7ee6d4f53503,10 Bands,07acd6dc-d643-43b6-a527-5a2b3f941360,1697796932,2023-10-20 12:15:32,12d5QFwzh60IIHlsSnAvps,0.825,0.756,0.383,0.265,2.15e-06,0.0762,0.888,172.938,177733,4,11,-3.687,0
Drake,,If You're Reading This It's Too Late,26d2002d-cd52-4774-88f2-7ee6d4f53503,Energy,de00182e-daf7-4780-b2f2-fa2b0032f4b7,1697796750,2023-10-20 12:12:30,79XrkTOfV1AqySNjVlygpW,0.747,0.571,0.478,0.38,0.0,0.534,0.553,172.104,181933,4,11,-7.916,1
Drake,,If You're Reading This It's Too Late,26d2002d-cd52-4774-88f2-7ee6d4f53503,Legend,3de31d49-94e4-4a9b-859e-109735681c7d,1697796509,2023-10-20 12:08:29,1ID1QFSNNxi0hiZCNcwjUC,0.714,0.563,0.0723,0.0266,0.0,0.0776,0.31,100.091,241853,4,1,-7.574,1
IDLES,be465d4f-c28d-4ba1-94ab-ebaada7db8af,Dancer,8e8b23ae-ec73-4d50-8e1f-28c85b686edc,Dancer,4a041989-3240-45c2-8b12-aa1cb1603266,1697796213,2023-10-20 12:03:33,2F7dO7OCqrxff66epaNPEU,0.601,0.851,0.0424,0.00798,2.84e-05,0.318,0.6,141.155,189493,4,3,-6.391,0
Chad VanGaalen,d5c5c11b-153d-4f28-9525-db5ec1bfe0ad,Soft Airplane,3e7f1846-7df8-3268-a5cd-d8b85e3c38a2,Bare Feet on Wet Griptape,557f5667-5da7-3c5d-8d24-abb6f1d8efa4,1697796062,2023-10-20 12:01:02,1hpdaYX1zGSof9WQV5K21t,0.643,0.914,0.0394,0.249,0.362,0.0948,0.673,130.386,150333,4,0,-6.079,1
